"","SMILES","DB","ID","scaffold","scaffold_id","NA","NA"
"1","[C@@H](CCC=C(C)C)(C)[C@@H]1C=CC(=C)CC1","NANPDB","5261","C1=CCCCC1","C1=CCCCC1",NA,1
"2","[C@@H](CCC=C(C)C)(C)[C@@H]1C=CC(C)=CC1","NANPDB","5257","C=1C=CCCC1","C=1C=CCCC1",NA,2
"3","[C@@H](CCC=C(C)C)(C)c1ccc(C)cc1","NANPDB","4946","c1ccccc1","c1ccccc1",NA,3
"4","[C@H](CC[C@H]1[C@@H](C)CC[C@H]2C(C)(C)CCC[C@]12C)(CC)C","EANPD","EUPH_00075","C1CCC2CCCCC2C1","C1CCC2CCCCC2C1",NA,4
"5","[C@H](CCC=C(C)C)(C)C1=CC=C(C)CC1","NANPDB","5499","C=1C=CCCC1","C=1C=CCCC1",NA,2
"6","[C@H](CCC=C(C)C)(C)c1ccc(C)cc1","NANPDB","5498","c1ccccc1","c1ccccc1",NA,3
"7","[C@H]1(c2cc3OCOc3cc2)OC[C@@H]2[C@@H](c3cc4OCOc4cc3)OC[C@H]12","NANPDB","1649","O1c2ccccc2OC1","O1CC2COCC2C1","O1c2ccc(cc2OC1)C3OCC4C(OCC34)c5ccc6OCOc6c5",5
"9","[C@H]1(c2cc3OCOc3cc2)OC[C@@H]2[C@@H](c3cc4OCOc4cc3)OC[C@H]12","EANPD","RUTA_00017","O1c2ccccc2OC1","O1CC2COCC2C1","O1c2ccc(cc2OC1)C3OCC4C(OCC34)c5ccc6OCOc6c5",5
"15","[O-]c1cc2c3[n+](cc4c2cc2OCOc2c4)CCc3c1","NANPDB","203","O1c2cc3cn4c5c(cccc5CC4)c3cc2OC1","O1c2cc3cn4c5c(cccc5CC4)c3cc2OC1",NA,6
"16","[O-2H0][HH0][C+@]12C(C)(C)CCC[C@]1(C)[C@@H]1[C@](C)([C@@]3(C)[C@@H]([C@H]4C(=C(C)C)CC[C@]4(C)CC3)CC1)CC2","NANPDB","2297","*12CCCCC1C3CCC4C5CCCC5CCC4C3CC2","*12CCCCC1C3CCC4C5CCCC5CCC4C3CC2",NA,7
"17","[O+]#CCC(=C)[C-H2]","EANPD","ROSA_00007","0",NA,NA,8
"18","[O+]#CN1C2C(=O)NC(C(CC)C)C(=O)NCCc3ccc(OC2CC1)cc3","NANPDB","3522","O1c2ccc(cc2)CCNCCNCC3NCCC13","O1c2ccc(cc2)CCNCCNCC3NCCC13",NA,9
"19","[S@@H0](=O)(c1ccccc1)C12C[C@H](C(=O)CC1)CCC2","EANPD","ANNO_02021","c1ccccc1","C1CC2CCCC(C1)C2","S(c1ccccc1)C23CCCC(CCC2)C3",3
"20","[SH](=O)(=O)O[C@H]1[C@H](O)[C@@H](O)CO[C@H]1Oc1c(O)c2OC(c3ccc(O)cc3)=CC(=O)c2c(O)c1","NANPDB","2673","O1C=CCc2ccccc12","O1CCCCC1","O1c2cc(OC3OCCCC3)ccc2CC=C1c4ccccc4",10
"21","[SH](=O)(=O)Oc1cc(C)c-2c(OC(=O)c3c(O)cc(OC)cc-23)c1","EANPD","PLEO_00103","O1c2ccccc2-c3ccccc3C1","O1c2ccccc2-c3ccccc3C1",NA,11
