"compound_id","name","smiles","source_species","country","bioactivity","target_organism","reference","source_db","activity_value","activity_type","ailment_treated","compound_class","molecular_weight","xlogp","h_bond_donors","h_bond_acceptors","rotatable_bonds","tpsa","num_atoms","num_rings","label_antibacterial","mic_value","log_mic"
"EANPDB_002","Polygodial","O=C[C@H]1[C@@H](C=O)CC[C@]2(C)[C@@H]1CC[C@@H]2C","Warburgia ugandensis","Kenya","antibacterial","Escherichia coli","PMC7685152","ANPDB/EANPDB","","","","","208.3","2.46","0.0","2.0","2.0","34.14","15.0","2.0","1","",""
"EANPDB_003","Muzigadial","O=C[C@@H]1[C@H](C=O)CC[C@]2(CO)[C@@H]1CC[C@@H]2C","Warburgia ugandensis","Uganda","antibacterial","Salmonella typhi","PMC7685152","ANPDB/EANPDB","","","","","224.3","1.44","1.0","3.0","3.0","54.37","16.0","2.0","1","",""
"EANPDB_005","Combretastatin A-4","COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O","Combretum caffrum","Tanzania","antibacterial","Mycobacterium tuberculosis","PMC7685152","ANPDB/EANPDB","","","","","316.35","3.6","1.0","5.0","6.0","57.15","23.0","2.0","1","",""
"EANPDB_006","Harmine","COc1ccc2[nH]c3ccnc(C)c3c2c1","Peganum harmala","Ethiopia","antibacterial","Staphylococcus aureus","PMC7685152","ANPDB/EANPDB","","","","","212.25","3.03","1.0","2.0","1.0","37.91","16.0","3.0","1","",""
"EANPDB_007","Plumbagin","Cc1cc(=O)c2cccc(O)c2n1","Plumbago zeylanica","Kenya/Tanzania","antibacterial","Staphylococcus aureus","PMID:25701522","ANPDB/EANPDB","","","","","","","","","","","","","1","",""
"EANPDB_008","Berberine","COc1ccc2c(c1OC)-c1cc3ccc(OC)c(OC)c3cc1[N+]2=C","Zanthoxylum chalybeum","Kenya","antibacterial","Klebsiella pneumoniae","PMC7685152","ANPDB/EANPDB","","","","","350.39","4.39","0.0","4.0","4.0","39.93","26.0","4.0","1","",""
"EANPDB_009","Erythromycin A","CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2C[C@H](N(C)C)[C@@H](O)[C@H](C)O2)C(=O)[C@@H](CC)[C@@H]1O","Erythrina abyssinica","Uganda/Kenya","antibacterial","Streptococcus pneumoniae","PMC7685152","ANPDB/EANPDB","","","","","617.78","1.65","3.0","12.0","8.0","153.45","43.0","3.0","1","",""
"EANPDB_010","Quercetin","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Acacia nilotica","Kenya/Ethiopia","antibacterial","Escherichia coli","PMC7685152","ANPDB/EANPDB","","","","","302.24","1.99","5.0","7.0","1.0","131.36","22.0","3.0","1","",""
"EANPDB_011","Luteolin","O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","Ocimum gratissimum","Kenya/Tanzania","antibacterial","Pseudomonas aeruginosa","PMC7685152","ANPDB/EANPDB","","","","","286.24","2.28","4.0","6.0","1.0","111.13","21.0","3.0","1","",""
"EANPDB_012","Ursolic acid","CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]3(CC[C@@H]3C(C)(C)C(=O)CC[C@]43C)[C@@H]2C1)C(=O)O)C","Vernonia amygdalina","Uganda/Kenya","antibacterial","Staphylococcus aureus","PMC7685152","ANPDB/EANPDB","","","","","456.71","7.52","1.0","2.0","1.0","54.37","33.0","5.0","1","",""
