"src_compound","dst_bacterium","label","relation","mic_value","log_mic","source_db"
"C_0","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_1","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_3","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_4","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_5","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_6","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_7","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_8","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_12","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_13","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_14","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_15","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_16","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_17","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_18","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_19","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_20","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_21","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_22","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_23","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_24","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_25","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_26","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_27","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_28","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_29","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_31","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_32","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_33","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_34","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_35","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_36","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_37","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_38","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_39","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_40","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_41","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_42","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_43","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_44","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_45","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_46","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_47","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_48","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_49","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_50","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_51","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_52","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_53","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_54","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_55","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_56","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_57","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_58","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_59","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_61","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_62","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_63","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_64","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_65","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_66","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_67","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_68","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_75","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_76","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_77","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_78","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_79","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_81","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_82","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_83","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_84","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_85","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_86","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_87","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_88","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_89","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_90","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_91","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_92","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_93","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_94","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_95","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_96","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_97","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_98","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_99","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_100","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_101","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_102","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_103","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_104","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_105","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_106","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_107","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_108","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_109","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_110","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_111","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_112","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_113","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_114","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_115","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_116","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_117","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_118","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_119","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_120","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_121","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_122","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_123","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_124","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_125","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_126","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_127","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_128","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_129","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_132","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_133","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_134","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_135","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_136","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_137","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_138","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_139","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_140","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_142","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_143","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_144","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_145","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_146","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_147","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_148","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_149","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_150","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_151","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_152","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_153","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_154","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_155","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_156","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_157","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_158","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_159","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_160","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_161","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_162","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_163","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_164","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_166","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_167","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_168","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_169","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_170","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_171","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_172","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_173","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_174","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_175","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_176","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_177","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_178","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_179","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_180","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_181","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_182","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_183","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_184","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_185","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_186","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_187","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_188","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_189","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_190","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_191","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_192","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_193","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_194","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_195","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_196","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_197","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_198","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_199","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_200","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_201","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_202","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_203","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_204","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_205","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_206","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_208","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_209","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_211","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_212","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_213","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_214","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_215","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_216","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_217","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_218","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_219","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_220","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_221","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_222","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_223","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_225","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_226","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_227","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_228","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_230","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_231","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_233","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_234","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_235","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_236","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_237","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_239","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_240","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_241","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_242","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_243","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_244","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_245","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_246","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_247","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_248","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_249","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_250","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_251","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_252","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_253","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_254","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_255","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_256","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_257","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_258","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_259","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_260","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_261","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_262","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_263","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_264","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_265","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_266","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_267","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_268","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_269","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_270","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_271","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_272","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_273","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_274","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_275","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_276","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_277","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_278","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_279","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_280","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_281","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_282","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_283","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_284","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_285","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_286","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_287","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_288","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_289","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_290","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_291","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_292","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_293","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_294","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_295","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_296","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_297","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_298","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_299","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_300","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_301","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_302","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_303","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_304","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_305","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_306","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_307","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_308","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_309","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_310","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_311","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_312","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_313","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_314","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_315","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_316","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_317","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_318","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_319","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_320","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_321","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_322","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_323","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_324","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_325","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_326","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_327","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_328","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_329","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_330","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_331","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_332","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_333","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_334","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_335","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_336","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_337","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_338","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_339","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_340","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_341","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_342","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_343","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_344","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_345","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_346","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_347","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_348","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_349","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_350","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_351","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_352","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_353","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_354","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_355","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_356","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_357","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_358","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_359","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_360","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_361","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_362","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_363","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_364","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_365","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_366","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_367","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_368","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_369","B_0","1","ACTIVE_AGAINST","","","ANPDB"
"C_370","B_0","1","ACTIVE_AGAINST","","","ANPDB"
