src_plant,dst_compound,relation,source_db
P_90,C_0,PRODUCES,ANPDB
P_90,C_1,PRODUCES,ANPDB
P_190,C_3,PRODUCES,ANPDB
P_78,C_4,PRODUCES,ANPDB
P_27,C_5,PRODUCES,ANPDB
P_4,C_6,PRODUCES,ANPDB
P_12,C_7,PRODUCES,ANPDB
P_62,C_8,PRODUCES,ANPDB
P_16,C_12,PRODUCES,ANPDB
P_25,C_13,PRODUCES,ANPDB
P_27,C_14,PRODUCES,ANPDB
P_27,C_15,PRODUCES,ANPDB
P_27,C_16,PRODUCES,ANPDB
P_27,C_17,PRODUCES,ANPDB
P_84,C_18,PRODUCES,ANPDB
P_145,C_19,PRODUCES,ANPDB
P_267,C_20,PRODUCES,ANPDB
P_305,C_21,PRODUCES,ANPDB
P_305,C_22,PRODUCES,ANPDB
P_305,C_23,PRODUCES,ANPDB
P_305,C_24,PRODUCES,ANPDB
P_304,C_25,PRODUCES,ANPDB
P_304,C_26,PRODUCES,ANPDB
P_273,C_27,PRODUCES,ANPDB
P_164,C_28,PRODUCES,ANPDB
P_76,C_29,PRODUCES,ANPDB
P_88,C_31,PRODUCES,ANPDB
P_86,C_32,PRODUCES,ANPDB
P_87,C_33,PRODUCES,ANPDB
P_87,C_34,PRODUCES,ANPDB
P_76,C_35,PRODUCES,ANPDB
P_1,C_36,PRODUCES,ANPDB
P_1,C_37,PRODUCES,ANPDB
P_12,C_38,PRODUCES,ANPDB
P_223,C_39,PRODUCES,ANPDB
P_7,C_40,PRODUCES,ANPDB
P_66,C_41,PRODUCES,ANPDB
P_66,C_42,PRODUCES,ANPDB
P_314,C_43,PRODUCES,ANPDB
P_66,C_44,PRODUCES,ANPDB
P_156,C_45,PRODUCES,ANPDB
P_136,C_46,PRODUCES,ANPDB
P_179,C_47,PRODUCES,ANPDB
P_12,C_48,PRODUCES,ANPDB
P_12,C_49,PRODUCES,ANPDB
P_134,C_50,PRODUCES,ANPDB
P_1,C_51,PRODUCES,ANPDB
P_65,C_52,PRODUCES,ANPDB
P_68,C_53,PRODUCES,ANPDB
P_87,C_54,PRODUCES,ANPDB
P_67,C_55,PRODUCES,ANPDB
P_161,C_56,PRODUCES,ANPDB
P_82,C_57,PRODUCES,ANPDB
P_93,C_58,PRODUCES,ANPDB
P_64,C_59,PRODUCES,ANPDB
P_94,C_61,PRODUCES,ANPDB
P_129,C_62,PRODUCES,ANPDB
P_21,C_63,PRODUCES,ANPDB
P_103,C_64,PRODUCES,ANPDB
P_91,C_65,PRODUCES,ANPDB
P_14,C_66,PRODUCES,ANPDB
P_87,C_67,PRODUCES,ANPDB
P_25,C_68,PRODUCES,ANPDB
P_21,C_75,PRODUCES,ANPDB
P_285,C_76,PRODUCES,ANPDB
P_12,C_77,PRODUCES,ANPDB
P_92,C_78,PRODUCES,ANPDB
P_106,C_79,PRODUCES,ANPDB
P_25,C_81,PRODUCES,ANPDB
P_153,C_82,PRODUCES,ANPDB
P_155,C_83,PRODUCES,ANPDB
P_112,C_84,PRODUCES,ANPDB
P_135,C_85,PRODUCES,ANPDB
P_109,C_86,PRODUCES,ANPDB
P_109,C_87,PRODUCES,ANPDB
P_109,C_88,PRODUCES,ANPDB
P_109,C_89,PRODUCES,ANPDB
P_109,C_90,PRODUCES,ANPDB
P_109,C_91,PRODUCES,ANPDB
P_109,C_92,PRODUCES,ANPDB
P_109,C_93,PRODUCES,ANPDB
P_109,C_94,PRODUCES,ANPDB
P_109,C_95,PRODUCES,ANPDB
P_109,C_96,PRODUCES,ANPDB
P_109,C_97,PRODUCES,ANPDB
P_109,C_98,PRODUCES,ANPDB
P_109,C_99,PRODUCES,ANPDB
P_109,C_100,PRODUCES,ANPDB
P_109,C_101,PRODUCES,ANPDB
P_109,C_102,PRODUCES,ANPDB
P_109,C_103,PRODUCES,ANPDB
P_109,C_104,PRODUCES,ANPDB
P_109,C_105,PRODUCES,ANPDB
P_109,C_106,PRODUCES,ANPDB
P_109,C_107,PRODUCES,ANPDB
P_109,C_108,PRODUCES,ANPDB
P_109,C_109,PRODUCES,ANPDB
P_109,C_110,PRODUCES,ANPDB
P_109,C_111,PRODUCES,ANPDB
P_109,C_112,PRODUCES,ANPDB
P_109,C_113,PRODUCES,ANPDB
P_109,C_114,PRODUCES,ANPDB
P_109,C_115,PRODUCES,ANPDB
P_109,C_116,PRODUCES,ANPDB
P_109,C_117,PRODUCES,ANPDB
P_109,C_118,PRODUCES,ANPDB
P_109,C_119,PRODUCES,ANPDB
P_109,C_120,PRODUCES,ANPDB
P_109,C_121,PRODUCES,ANPDB
P_109,C_122,PRODUCES,ANPDB
P_109,C_123,PRODUCES,ANPDB
P_109,C_124,PRODUCES,ANPDB
P_205,C_125,PRODUCES,ANPDB
P_310,C_126,PRODUCES,ANPDB
P_310,C_127,PRODUCES,ANPDB
P_310,C_128,PRODUCES,ANPDB
P_310,C_129,PRODUCES,ANPDB
P_121,C_132,PRODUCES,ANPDB
P_121,C_133,PRODUCES,ANPDB
P_121,C_134,PRODUCES,ANPDB
P_130,C_135,PRODUCES,ANPDB
P_73,C_136,PRODUCES,ANPDB
P_143,C_137,PRODUCES,ANPDB
P_91,C_138,PRODUCES,ANPDB
P_144,C_139,PRODUCES,ANPDB
P_75,C_140,PRODUCES,ANPDB
P_87,C_142,PRODUCES,ANPDB
P_3,C_143,PRODUCES,ANPDB
P_118,C_144,PRODUCES,ANPDB
P_12,C_145,PRODUCES,ANPDB
P_125,C_146,PRODUCES,ANPDB
P_297,C_147,PRODUCES,ANPDB
P_297,C_148,PRODUCES,ANPDB
P_297,C_149,PRODUCES,ANPDB
P_137,C_150,PRODUCES,ANPDB
P_297,C_151,PRODUCES,ANPDB
P_297,C_152,PRODUCES,ANPDB
P_297,C_153,PRODUCES,ANPDB
