"node_id","name","country","n_compounds","n_active","n_inactive","active_ratio","feat_region","feat_count_norm"
"P_0","Acacia albida","East Africa","7","7","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.14"
"P_1","Acacia farnesiana","East Africa","10","10","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.2"
"P_2","Acacia nilotica","East Africa","12","12","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.24"
"P_3","Acacia nilotica subsp. tomentosa","East Africa","2","2","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.04"
"P_4","Acacia polyacantha","East Africa","6","4","2","0.667","0,0,0,0,0,0,0,0,0,0,1,1,0","0.12"
"P_5","Acacia senegal","East Africa","6","6","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.12"
"P_6","Acacia sieberiana","East Africa","6","5","1","0.833","0,0,0,0,0,0,0,0,0,0,1,1,0","0.12"
"P_7","Acacia species","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_9","Achillea fragrantissima","East Africa","3","3","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.06"
"P_10","Achillea ligustica","East Africa","2","2","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.04"
"P_11","Achillea santolina","East Africa","2","2","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.04"
"P_12","Achyranthes aspera","East Africa","11","9","2","0.818","0,0,0,0,0,0,0,0,0,0,1,1,0","0.22"
"P_13","Achyrocline glumacea","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_14","Adenocarpus anagyrifolius","East Africa","8","8","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.16"
"P_15","Adenocarpus artemisifolius","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_16","Aerva javanica","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_17","Afraegle paniculata","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_19","Agelanthus brunneus","East Africa","3","3","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.06"
"P_20","Ajuga iva","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_21","Albizia coriaria","East Africa","2","2","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.04"
"P_22","Albizia glaberrima","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
"P_23","Alchornea cordifolia","East Africa","2","2","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.04"
"P_24","Alchornea laxiflora","East Africa","1","1","0","1.0","0,0,0,0,0,0,0,0,0,0,1,1,0","0.02"
