src_plant,dst_compound,relation,source_db
NP_P_0,NP_C_0,PRODUCES,NPASS 3.0
NP_P_2,NP_C_1,PRODUCES,NPASS 3.0
NP_P_0,NP_C_2,PRODUCES,NPASS 3.0
NP_P_2,NP_C_3,PRODUCES,NPASS 3.0
NP_P_0,NP_C_4,PRODUCES,NPASS 3.0
NP_P_2,NP_C_5,PRODUCES,NPASS 3.0
NP_P_2,NP_C_6,PRODUCES,NPASS 3.0
NP_P_2,NP_C_7,PRODUCES,NPASS 3.0
NP_P_2,NP_C_8,PRODUCES,NPASS 3.0
NP_P_2,NP_C_9,PRODUCES,NPASS 3.0
NP_P_2,NP_C_10,PRODUCES,NPASS 3.0
NP_P_1,NP_C_11,PRODUCES,NPASS 3.0
NP_P_0,NP_C_12,PRODUCES,NPASS 3.0
NP_P_2,NP_C_13,PRODUCES,NPASS 3.0
NP_P_3,NP_C_14,PRODUCES,NPASS 3.0
NP_P_4,NP_C_15,PRODUCES,NPASS 3.0
NP_P_0,NP_C_16,PRODUCES,NPASS 3.0
NP_P_0,NP_C_17,PRODUCES,NPASS 3.0
NP_P_2,NP_C_18,PRODUCES,NPASS 3.0
NP_P_2,NP_C_19,PRODUCES,NPASS 3.0
NP_P_0,NP_C_20,PRODUCES,NPASS 3.0
NP_P_2,NP_C_21,PRODUCES,NPASS 3.0
NP_P_2,NP_C_22,PRODUCES,NPASS 3.0
NP_P_2,NP_C_23,PRODUCES,NPASS 3.0
NP_P_2,NP_C_24,PRODUCES,NPASS 3.0
NP_P_2,NP_C_25,PRODUCES,NPASS 3.0
NP_P_0,NP_C_26,PRODUCES,NPASS 3.0
NP_P_0,NP_C_27,PRODUCES,NPASS 3.0
NP_P_4,NP_C_28,PRODUCES,NPASS 3.0
