pathogen,pathogen_abbr,target_chembl_id,molecule_chembl_id,activity_type,value,units,pubmed_id
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL98,IC50,540000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL232053,IC50,28000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL164,IC50,3000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL8260,IC50,3000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL15192,IC50,3000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL98,IC50,14000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL232053,IC50,4800.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL600221,IC50,5000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL602502,IC50,5000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL602503,IC50,5400.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1797656,IC50,200000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1797657,IC50,200000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164250,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164249,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL222824,IC50,23900.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164248,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164247,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL51979,IC50,400.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164246,IC50,200.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164245,IC50,4300.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164244,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2164243,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1938900,IC50,5900.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1230640,IC50,2400.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL2169917,IC50,110.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1615036,IC50,180.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1938896,IC50,2500.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1255743,IC50,100000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108959,IC50,16000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108953,IC50,5500.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108955,IC50,5100.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108956,IC50,5000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108952,IC50,3900.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108954,IC50,3500.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL3108958,IC50,420.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1230640,IC50,300.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1435274,IC50,2000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1230640,IC50,200.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1519338,IC50,11000.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL1486366,IC50,1100.0,nM,
Staphylococcus aureus,MRSA,CHEMBL1293226,CHEMBL588,IC50,3000.0,nM,
