compound_ref,target_bacterium,activity_label,relation,activity_type,activity_value,activity_unit,source
C_0,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_1,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_2,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_3,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_4,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_5,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_6,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_7,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_8,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_9,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_10,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_11,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_12,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_13,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_14,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_15,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_16,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_17,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_18,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_19,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_20,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_21,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_22,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_23,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_24,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_25,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_26,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_27,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_28,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_29,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_30,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_31,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_32,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_33,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_34,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_35,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_36,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_37,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_38,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_39,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_40,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_41,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_42,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_43,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_44,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_45,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_46,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_47,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_48,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_49,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_50,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_51,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_52,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_53,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_54,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_55,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_56,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_57,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_58,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_59,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_60,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_61,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_62,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_63,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_64,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_65,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_66,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_67,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_68,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_69,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_70,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_71,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_72,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_73,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_74,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_75,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_76,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_77,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_78,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_79,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_80,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_81,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_82,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_83,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_84,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_85,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_86,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_87,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_88,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_89,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_90,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_91,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_92,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_93,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_94,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_95,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_96,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_97,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_98,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_99,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_100,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_101,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_102,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_103,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_104,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_105,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_106,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_107,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_108,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_109,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_110,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_111,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_112,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_113,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_114,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_115,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_116,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_117,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_118,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_119,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_120,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_121,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_122,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_123,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_124,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_125,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_126,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_127,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_128,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_129,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_130,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_131,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_132,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_133,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_134,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_135,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_136,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_137,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_138,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_139,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_140,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_141,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_142,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_143,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_144,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_145,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_146,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_147,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_148,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_149,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_150,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_151,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_152,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_153,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_154,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_155,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_156,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_157,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_158,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_159,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_160,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_161,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_162,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_163,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_164,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_165,B_0,0,INACTIVE_AGAINST,,,,edges_compound_bacterium
C_166,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_167,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_168,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_169,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_170,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_171,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_172,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_173,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_174,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_175,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
C_176,B_0,1,ACTIVE_AGAINST,,,,edges_compound_bacterium
