compound_id,name,smiles,source_species,country,target_organism,bioactivity,label_antibacterial,compound_class,ailment_treated,source_db,reference,activity_type,activity_value,mic_value,mic_unit,is_mic_numeric
Mol_00007,apigenin-7-O-beta-glucopyranoside,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,Artemisia judaica,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10913856,class_inference,,,,0
Mol_00008,apigenin-7-O-gentiobioside,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)oc(cc4=O)c3ccc(cc3)O)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Artemisia judaica,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,,class_inference,,,,0
Mol_00024,1-octen-3-ol,CCCCCC(C=C)O,Artemisia herba-alba,East Africa,multiple,inactive,0,alcohol,,ANPDB,PMID:20554185,class_inference,,,,0
Mol_00063,afzelin,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,Diplotaxis acris,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:16303155,class_inference,,,,0
Mol_00064,quercitrin,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,Argania spinosa,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10820798,class_inference,,,,0
Mol_00065,isoquercitrin,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Allium myrianthum,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10746883,class_inference,,,,0
Mol_00066,hyperin,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@H]1O)O)O,Acacia polyacantha,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10913855,class_inference,,,,0
Mol_00067,rutin,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,Achyranthes aspera,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10746883,class_inference,,,,0
Mol_00068,oleanolic acid,O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C,Amaracus akhdarensis,East Africa,multiple,antibacterial,1,terpenoid,,ANPDB,PMID:11677033,class_inference,,,,0
Mol_00078,beta-sitosterol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Agave decipiens,East Africa,multiple,inactive,0,steroid,,ANPDB,PMID:11008378,class_inference,,,,0
Mol_00079,oleic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,Agave decipiens,East Africa,multiple,inactive,0,lipid,,ANPDB,PMID:11677033,class_inference,,,,0
Mol_00148,cholesterol,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,Aloe barbadensis,East Africa,multiple,inactive,0,steroid,,ANPDB,PMID:11677033,class_inference,,,,0
Mol_00156,quercetin 3-galactoside,OC[C@H]1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@H]1O)O)O,Aerva javanica,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:1366431,class_inference,,,,0
Mol_00160,kaempferol 3-O-beta-D-glucopyranoside,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,Alkanna orientalis,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10820798,class_inference,,,,0
Mol_00162,quercetin,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,Allium myrianthum,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:11908975,class_inference,,,,0
Mol_00164,quercetin 3-O-(6''-alpha-L-rhamnopyranosyl)-beta-D-glucopyranoside,Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O,Allium myrianthum,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:17190444,class_inference,,,,0
Mol_00167,apigenin,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,Allium myrianthum,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:10996263,class_inference,,,,0
Mol_00169,luteolin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,Allium myrianthum,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:11008378,class_inference,,,,0
Mol_00175,isoliquiritigenin,Oc1ccc(cc1)/C=C/C(=O)c1ccc(cc1O)O,Artemisia campestris,East Africa,multiple,antibacterial,1,flavonoid,,ANPDB,PMID:11014284,class_inference,,,,0
Mol_00182,lycorine,O[C@H]1C=C2CCN3[C@H]2[C@@H]([C@@H]1O)c1cc2OCOc2cc1C3,Clivia miniata,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,PMID:26265570,class_inference,,,,0
Mol_00184,galanthamine,COc1ccc2c3c1O[C@@H]1[C@@]3(CCN(C2)C)C=C[C@@H](C1)O,Haemanthus multiflorus,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,PMID:26265570,class_inference,,,,0
Mol_00194,narcisine,COc1ccc2c3c1OC1C3(C=C[C@H](C1)O)CCN(C2)C(=O)C,Narcissus tazetta,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,,class_inference,,,,0
Mol_00196,pseudolycorine,COc1cc2CN3CCC4=C[C@@H]([C@H]([C@@H](c2cc1O)[C@H]34)O)O,Narcissus tazetta,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,,class_inference,,,,0
Mol_00198,haemanthamine,CO[C@@H]1C=C[C@]23[C@H](C1)N(C[C@@H]2O)Cc1c3cc2OCOc2c1,Narcissus tazetta,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,,class_inference,,,,0
Mol_00199,pretazettine,CO[C@@H]1C=C[C@]23[C@H](C1)N(C)C[C@@H]2O[C@H](c1c3cc2OCOc2c1)C,Narcissus tazetta,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,,class_inference,,,,0
Mol_00200,tazettine,CO[C@@H]1C=C[C@@]23[C@H](C1)N(C)C[C@]3(O)OCc1c2cc2OCOc2c1,Narcissus species,East Africa,multiple,antibacterial,1,alkaloid,,ANPDB,PMID:26265570,class_inference,,,,0
