compound_id,name,smiles,molecular_weight,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,num_atoms,num_rings,source_db,node_type
EANPDB_001,Ugandensidial,O=C1C=C[C@@H]2CC(=O)[C@H](C)[C@@H]2[C@@H]1C,178.23,1.6,0.0,2.0,0.0,34.14,13.0,2.0,ANPDB/EANPDB,compound
EANPDB_002,Polygodial,O=C[C@H]1[C@@H](C=O)CC[C@]2(C)[C@@H]1CC[C@@H]2C,208.3,2.46,0.0,2.0,2.0,34.14,15.0,2.0,ANPDB/EANPDB,compound
EANPDB_003,Muzigadial,O=C[C@@H]1[C@H](C=O)CC[C@]2(CO)[C@@H]1CC[C@@H]2C,224.3,1.44,1.0,3.0,3.0,54.37,16.0,2.0,ANPDB/EANPDB,compound
EANPDB_004,Maesabalide III,OC1OC(CO)C(O)C(O)C1Oc1cc2c(cc1O)C(=O)c1c(O)cccc1C2=O,418.35,-0.95,6.0,10.0,3.0,173.98,30.0,4.0,ANPDB/EANPDB,compound
EANPDB_005,Combretastatin A-4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,316.35,3.6,1.0,5.0,6.0,57.15,23.0,2.0,ANPDB/EANPDB,compound
EANPDB_006,Harmine,COc1ccc2[nH]c3ccnc(C)c3c2c1,212.25,3.03,1.0,2.0,1.0,37.91,16.0,3.0,ANPDB/EANPDB,compound
EANPDB_007,Plumbagin,Cc1cc(=O)c2cccc(O)c2n1,,,,,,,,,ANPDB/EANPDB,compound
EANPDB_008,Berberine,COc1ccc2c(c1OC)-c1cc3ccc(OC)c(OC)c3cc1[N+]2=C,350.39,4.39,0.0,4.0,4.0,39.93,26.0,4.0,ANPDB/EANPDB,compound
EANPDB_009,Erythromycin A,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2C[C@H](N(C)C)[C@@H](O)[C@H](C)O2)C(=O)[C@@H](CC)[C@@H]1O,617.78,1.65,3.0,12.0,8.0,153.45,43.0,3.0,ANPDB/EANPDB,compound
EANPDB_010,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,5.0,7.0,1.0,131.36,22.0,3.0,ANPDB/EANPDB,compound
