pmid,title,search_query
39316695,,Tanzania[Title/Abstract] AND traditional medicine[
38270178,,Tanzania[Title/Abstract] AND traditional medicine[
36105459,,Tanzania[Title/Abstract] AND traditional medicine[
31877364,,Tanzania[Title/Abstract] AND traditional medicine[
29723630,,Tanzania[Title/Abstract] AND traditional medicine[
20663166,,Tanzania[Title/Abstract] AND traditional medicine[
19715617,,Tanzania[Title/Abstract] AND traditional medicine[
41783344,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
41375155,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
36124327,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
35406911,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
35304278,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
34867053,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
28340622,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
23156984,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
23013240,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
20371284,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
18582554,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
15368649,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
8980587,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
8203297,,Tanzania[Title/Abstract] AND (MIC[Title/Abstract] 
